,mobile_name,mrp,deal_price,user_review,light_weight_rating,value_for_money_rating,battery_life_rating
88,InFocus Vision 3,7999,6999,"Bought this phone for my father 15 days back and now writing this review on behalf of my father describing about the features, specifications and performance of this Infocus Vision 3

1. It comes with 5.7-inch HD+ Full Vision Display with nice graphics and picture quality there you can enjoy watching movies and videos.

2. Best thing is its battery of 4000 mah which gets fully charged in 1.5 hours and lasts for a day on a heavy internet usage and can play games for long hours without charging it.

3. Selfies are past. Do the Dualfie as they say with its inbuilt dualfie feature you can click two images at one time from both the cameras i.e. a new and awesome feature of this phone.

4. Looks good bcoz of this 2.5D curved glass screen which make it looks awesome and handy to carry it in hand and can work on one handed mode too.

5. Somehow heating problem occurs on a long run of use or when on charging so there's need a lil bit improvement from the brand.

6. Android also needs improvements as there are so many buges comes while running the most of the applications.

7. Overall performance of the phone is good as when compared to its price. Nice features and specifications in this price no another brand is giving. Hence, According to your requirements and usage you can buy this.",3.8,3.5,3.5
89,Nokia 6.1,20095,14999,"More Sound, Less Noise
    

            












     
    
      
 


    
    
        
    






    
    
        
            Using the two built-in microphones, record spatial audio focusing on the sound you want, and not the noise, in every clip you shoot.",3.7,3.6,3.4
90,10.or G,29990,24990,Amazing phone. Really delighted,,,
91,Redmi Y2,13499,10999,"Excellent Phone, nice look , good camera and  battery backup with good speed",4.2,4.2,4.0
92,Huawei Nova 3i,23999,17990,"After lot of research decided to go for Nova 3i budget phone. No doubt choice was pretty good. Pics, call quality, speaker, pic modes/AI, smoothness, touch, design of device...No complains to mention. Pics in AI mode and Portrait are also quite decent. The seller also delivered the pack perfectly and sealed. I will give 4.8 stars to this awesome device. 0.8 percent I have kept it for very minute stuff. But I would suggest to consider this phone. Huawei no doubt is strong competition to other established brands now!",4.1,3.9,3.8
93,Huawei P20 Pro,69999,54999,You love photography then this is smart buy. All you get in this phone is the best. The drawback is no memory slot. The 3D monograph photo are not perfect. Rest all cool. Enjoying the phone. The metallic blue looks pretty amazing.,4.5,4.5,4.4
94,InFocus Vision 3,7999,6999,"View larger
            
        
    

        

        
            















     
 
     
    

    


    
    
        
    






    
        Enduring and Everlasting Power
    

            












     
    
      
 


    
    
        
    






    
    
        
            Forget reaching out for your charger every now and then with 4000 mAh battery of InFocus Vision 3 and enjoy life on the go with the high performance battery and reverse charging capabilities that turn your smartphone into a power bank and give it an incredible standby capacity of 22 days, music shuffle of 45 hours and call capacity of 20 hours to boast about.",3.8,3.5,3.5
95,10.or D2,7999,4999,"Very Smooth Experience in every aspect. And unexpected Fast delivery by Amazon to my home (in 24 hours). But some changes need in this phone :
1) Charging very slow 3 hours for 0% to 90% (If phone's Data is off and Phone is on Standby mode)
2) speakers are backside, it should be on below.",3.6,3.2,2.7
96,Moto G6 Plus,23999,22499,This mobile is awesome and its very good in this price,4.7,4.5,4.3
97,10.or D2,7999,4999,"Mobile design is good, performance also good. But if tempered glass is attached with the mobile package is my expectations. Because we buy it in separate only till it received we need to more care for the mobile. Why am expecting this means it's from Amazon that's why am like this expect.",3.6,3.2,2.7
98,LG V30+,60000,29990,"The product was completely secured while delivery. Grate job from the Amazon and also the seller to give me the phone but not anything other thing (such as stone, soap, etc) #RESPECT FOT BOTH OF THEM😉

About the product
Its was the BEST SMARTPHONE IN 2017, ( But UNDERRATED )

Kindly check the smartphone details in its official website (rather than reading the review) to look the your need",4.4,4.4,4.1
99,LG Q7,17000,15990,"In price of 16k, processor should be of good quality and internal memory should be of 64gb, as other multinational companies are providing.  Lg can't give competition to other brands with this type of market policy.",,,
100,Samsung Galaxy A8+,41900,23990,"Gives me problem now after 3 months.  Switches off suddenly. Gives me error with microphone not working and then asks to restart phone.
Not upto the expectations!!!!",4.2,4.2,4.0
101,Nokia 6.1,20095,14999,"The only issue is with the speaker. Within 4 months of its purchase, the only speaker has started misbehaving for the second time. I got it repaired and now again it has reached the same stage. Nokia needs to develop/reopen its service centers back.",3.7,3.6,3.4
102,10.or D2,7999,4999,The phone is just perfect for the money you pay. It's got great speed. The camera also is quite nice for the price I paid. The size of the phone is also perfect. It's not too bulky unlike the other phones in this range. This phone is a value for money.,3.6,3.2,2.7
103,Redmi 6 Pro,11499,10999,"Hi
This is Ahsan Rizvi
I purchased Redmi 6 Pro on 14th September, and it stop working from 8th October morning and i went to TVSe ( Mi service center at Lalbaug (mumbai) and it was closed then again i went on 9th October Tuesday, I was in a queue and my turn came almost after an hour, when i went to service desk with my bill which was with the box but they refuse to accept it as it was not proper readable then i took another print out from my email and give it them. Now they check my mobile and said there is one dent on mobile so they cannot replace it and they will not open and see my phone because they don't have parts of this mobile and it can take minimum 45 days.
Now i am helpless without mobile as they will not replace my mobile nor they will repair.",4.3,4.1,3.9
104,10.or D2,7999,4999,It look like professional phone but battery quality and camera quality is not as good as another mobile in market .,3.6,3.2,2.7
105,Lava Z61,7500,6750,In this budget superb mobile from lava I didn’t expected that cam clarity,4.6,3.8,3.5
106,Samsung Galaxy On7 Prime,12990,9990,Quality of Camera is bad. Not expected from Samsung of it. Other than camera it performs well and like it.,3.9,3.7,3.7
107,Redmi Y2,13499,10999,Performance is very good in this budget. Battery life is good. Don’t like the camera results for both front and rear. Value for money.,4.2,4.2,4.0
108,Huawei P20 Lite,22999,15999,"I purchased this mobile as a gift to my father ordered on 11 August 2018 delivered on 12th August no problem from Amazon end.

By 16th August there is a crack on the glass after a slip from the pocket height approx 3 ft. The product is highly fragile.

I don’t think that HUAWEI has even tested its product for real world environment. When I wanted to get the top glass replaced quote was of ₹ 7000/-.

This is a last time I am going to use a HUAWEI product and would rather advise my friends and family to avoid this brand. They work ethics is missing in the DNA of this company. They truly are Chinese company churning out cheap product at higher price.

If anyone is using or planning to by this device please do remember to purchase a screen guard and a back cover. This company is not responsible for its products performance in real life.",4.2,3.9,3.7
109,Moto G6,17999,13999,"Pros: Very fast, good picture quality, good battery quality.
Cons: Sound quality good but sound volume is low.",3.9,3.9,3.7
110,Huawei P20 Pro,69999,54999,"As I used this phone for almost couple of weeks would like to share some things about this phone..
The main reason why I had purchased this phone was because of camera, battery, performance and even the sound quality about this phone which I didn't expect would be so great. This phone fell from me more then 4 times and didn't had a small damage yet, thanks for the cover which they offer in the box. The beauty of this phone just kills the look of the other devices at this price range.
The camera of this phone is just like a beast.. you don't even have to touch the settings at all, it just uses its AI mode which you get the perfect picture what you don't even expect.
But the night mode of this device just turns the pic into real as you see with your naked eye. Mind-blowing...
I would recommend this phone to my friends who are looking at this price range.
Only the downside about this phone is the selfie camera. It just gives you very whitening of your face even though the beauty mode is turned off, which I seriously don't like, sometime it even comes blur.. Huawei needs to work on this.. rather everything his just perfect in this device. If you're looking for camera, photography, battery, performance and stylish looks then you can't turn your eye from this device.
I have even added two pics with the night mode off and the second one is turned on.",4.5,4.5,4.4
111,OnePlus 6,34999,29999,As a usual customer I knew that you guys can do the job in an excellent manner.The exclusive sellers of One plus in India are you people.Once again I am very glad to inform that I very delighted of this experience.This is the most excellent and the exciting that I have ever bought.So tahnk you Amazon for making us smile because of you.,4.6,4.3,4.3
112,LG Q7,17000,15990,"Q Lens with Google Assistant  
    

                                    













    
      
 


    
    
        
    






    
    
        
            Open   the camera app, aim at your desired object, then QLens will search, shop or   scan for you. You can also experience various Google Assistant commands on LG Q7.
        
    



                                
                            
                            
                                
                                    















     
 
     
    

    


    
    
        
    






    
        IP68 & Mil-Spec  
    

                                    













    
      
 


    
    
        
    






    
    
        
            LG Q7 provides superb protection against   dust/sand and immersion in water for 30 minutes at depths of up to 1.5m and   passed 14 categories of the military standard testing including high   temperature, low temperature, impact, and dust*.
        
    

    
    

    
    
        
            *  Compliant as per military standards test (MIL-STD-810G Method 516.6, Procedure IV “Transit Drop”.
        
    



                                
                            
                            
                                
                                    















     
 
     
    

    


    
    
        
    






    
        Fast Charging with USB Type-C  
    

                                    













    
      
 


    
    
        
    






    
    

    
    
        
            Charge your device faster than conventional chargers with the   easy-to-connect, reversible Type-C connector.
        
    



                                
                            
                            
                                
                                    















     
 
     
    

    


    
    
        
    






    
        Smart Rear Key 
    

                                    













    
      
 


    
    
        
    






    
    
        
            Get better safety and ease of use. Use your fingerprint to unlock your   phone, use quick shutter, quick screenshot and control notifications.",,,
113,Redmi 6 Pro,11499,10999,Awesome phone with great features at this price range. Heads up for it. its suffice my needs,4.3,4.1,3.9
114,Honor 7c,12999,8499,"Camera is very poor in low light conditions, but superb in outdoor photography. Battery will last for minimum 15 hours for an average user even mobile data is on. Speakers are very good. Only one disappointment is, its size is very large, very hard to use single handed. No heating, hanging problems. Gaming is also very nice.
Best phone in this price segment.",3.8,3.8,3.7
115,Honor View 10,35999,24999,"1. LTE: When you are on voice call Mobile data almost does not work, For example: if you have Airtel and Jio SIM's and you on Airtel voice call and have JIO 4G enabled still your internet wont work(you see page loading and timing out, but can see some ping response of 400-500ms roundtrip). total disappointment
2. Brightness of the screen is so so when you on road and hardly see anything on the screen.

Quite disappointed in terms of 4G And Voice call simultaneous use.",4.4,4.3,4.1
116,LG V30+,60000,29990,"No words for describing best things about this phone!! Already have G6 and fully satisfied with its performance. So, without thinking any further I bought this phone when offered on freedom sale with absolutely best offers.

Thanks LG for manufacturing wonderful phones at great prices and above all ""Make in India"" 🇮🇳

Update:

Lots of people are complaining about lack of portrait mode in the camera app. For those there is a quick solution. Just sideload the google camera app and you're set to go.  You'll impressed with its true camera potentials. Google camera is available for both main and wide angle camera. Hope this helps.",4.4,4.4,4.1
117,10.or G,29990,24990,Weste product phone heating slow charging,,,
118,Huawei Nova 3i,23999,17990,I bought this phone almost 15 day before. Audio is not so powerfull. Atleast you need to give some loud audio. But major concern is i need help to understand PORTRAIT MODE in this phone because my portrait is not working in my phone. So Have i need to contact huawai center within 1 month of purchase or anybody help me. ?,4.1,3.9,3.8
119,Moto E5 Plus,12999,9999,Highly satisfied with its performance till date and its Battery Life,4.2,3.6,3.5
120,Moto G6 Plus,23999,22499,"Phone suffers from a design flaw probably. It was faced globally. The voice is not at all audible on outgoing calls sometimes.
Although Moto brought out a fix for this in other countries, Indian version still has same issue.
Other than that, it is a bit overpriced.
Quite user friendly though
Should be made under Android One",4.7,4.5,4.3
121,Nokia 6.1,20095,14999,Well Nokia haven't stood up the standards.  Not much satisfied with the phone.,3.7,3.6,3.4
122,Honor View 10,35999,24999,Very very good mobile.... No issues since im using past 6 months. Great performance and battery life. Excellent camera features. Value for money. Love honor updates.,4.4,4.3,4.1
123,Redmi Y2,13499,10999,"Overall phone is good, nice front camera, good for selfie lovers, bokeh mode working, smooth working

Should improve battery..",4.2,4.2,4.0
124,Intex Indie,8999,4799,Don't go for this phone. Phone heats up at starting only. Waste of money.,3.3,3.2,2.8
125,LG Q7,17000,15990,"FHD+ Ful  lVision Display
    

                                    













    
      
 


    
    
        
    






    
    
        
            Maximize   your view, and your enjoyment on an 18:9 display that delivers clearer   picture quality, and a more vivid visual experience. Hold on to premium   comfort-the real metal frame complemented by gently curved 2.5D arc glass is as nice to look at as it is to hold.
        
    



                                
                            
                            
                                
                                    















     
 
     
    

    


    
    
        
    






    
        Portrait Mode  
    

                                    













    
      
 


    
    
        
    






    
    
        
            Q7 has portrait mode which had previously been reserved   just for premium smartphones. Attractive-looking pictures can be taken with   portrait mode because it naturally blurs the background to adds depth and make the person stand out.
        
    



                                
                            
                            
                                
                                    















     
 
     
    

    


    
    
        
    






    
        Wide Angle 13MP Camera
    

                                    













    
      
 


    
    
        
    






    
    
        
            Capture clear, high quality photos of moving   subjects with the high-speed autofocus technology you find in professional   cameras.
        
    



                                
                            
                            
                                
                                    















     
 
     
    

    


    
    
        
    






    
        DTS: X Surround Sound  
    

                                    













    
      
 


    
    
        
    






    
    

    
    
        
            Experience sound in the most immersive way. DTS: X is premium,   mobile-optimized technology that delivers louder, richer audio for movies,   music and games.",,,
126,OnePlus 6,34999,29999,"Bought this phone about a month ago and this is my opinion after using it for a month.

I was using iOS since oast 9 years. The inly reason I sticked to iOS for son long is it's stability over the android. However, after seeing the features and advancement of android over iOS since past couple of years, I decided to switch it to Android. Just I had question about the hardware configuration. Hence, I wanted the best hardware configuration for my device which eliminate all the slowness possibilities for Android device.

About hardware:
The outer case is premium in feel and touch. The display ratio to body is perfect. You won't notice any borders as such on all corners. Display is pretty vivid and touch is suoer responsive. The device feels sturdy enough to handle small and medium impacts. The side buttons are easy to operate and does not feel too soft or too notchy either.

Camera:
Camera is not super but definitely a good one. There are lot of ootions in Pro mode just like we get un DSLR. You can set everything custom as per your requirement like focus, aperture, ISO, shutter soeed etc which eill results in very customisable photos.

Sound and Microphone:
Siund at loudspeakers are perfect and audible even in crowded places. Earpiece for calling fullfills the expectatios. Since Oneplus dies not provide the headphones in box, you can use any 3.5 mm headphones. I am using Apple earpods with thus device with no issues for music and calling and the music experience is not different than any iOS device.

Battery backup:
I simoly love the dadh charging technology of this device. It charges uoto 40 prr cent of battery just in 10 minutes. Overall battery backuo is upto the mark. A single charge will be sufficient with heavy internet usage for a day.

Overall performance:
Yes. This device does heats up a bit when you play any high end games for approx 30 minutes which is very natural as you are using all it's components at extereme levels for better gaming experience. But again, even the battery performance is suoerb for gaming too.

Few areas for improvement:
There are some areas in terms of user UI experience which Oneplus needs to improve a bit. Like other Android devices, this also keeps a lot of garbage files on you ROM which you need to clear time to time. Of course, it won't cause any slowness but it will definitely occupy a space on your ROM.

FINAL verdict:
I woukd definitely recommend this device because even other high end Android devices does not cone uo with such configuration at this orice tag. Snapdragon 845 with 640 GPU packed with 6/8 GB RAM is an astonishing combination in this price bucket.",4.6,4.3,4.3
127,HTC Desire 12,15900,9990,"Always Looking Out for you
    


        
            
                
                    
                        
                            










 
 
 
 


    
    
        
    



    




    
    
        
    


    



    
    
        
    


                            

                            








    
    
        
    





    

                        
                    
                
                
                    
                        
                            










 
 
 
 


    
    
        
    



    




    
    
        
    


    



    
    
        
    


                            

                            








    
    
        
    





    

                        
                    
                
                
                    
                        
                            










 
 
 
 


    
    
        
    



    




    
    
        
    


    



    
    
        
    


                            

                            








    
    
        
    





    

                        
                    
                
            
            
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Smart Alarms
    

                        












     
    
      
 


    
    
        
    






    
    
        
            HTC sense companion helps remind you ahead of time of upcoming events or holidays and will even turn off alarms on holiday mornings so you can sleep in.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Battery Saver
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            Some days, you might be in too much of a hurry to make sure your phone is fully charged. HTC Sense Companion is smart enough to notice if you have any appointments that day and will remind you to recharge while you have time or bring a power bank.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Performance
    

                        












     
    
      
 


    
    
        
    






    
    
        
            HTC sense companion will make sure your phone is running at its optimum speed. It will suggest clearing junk files and unused apps for more free space.",,,
128,Moto G6 Plus,23999,22499,Toch vibration is not good,4.7,4.5,4.3
129,Moto G6 Plus,23999,22499,"Immersive Experience
    

                        












     
    
      
 


    
    
        
    






    
    

    
    

    
    
        
            Get maximum viewing with a breathtaking 15 cm Full HD+ max vision display with 18:9 aspect ratio. With Dolby audio, enjoy preset sound modes for everything, from music to movies or personalize it.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Durable Design
    

                        












     
    
      
 


    
    
        
    






    
    

    
    

    
    
        
            With a p2i water repellent coating, protect your phone from splashes, inside and out. Keep your phone screen protected from scratches with tough Corning Gorilla Glass. The stylish 3D glass reflects the light, giving your phone a different look from every angle.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
           Smart Moto Experiences
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Make everyday interactions more convenient and fun with intuitive actions like twist to open camera, chop twice for flashlight, pick up to stop ringing, and much more. Stay in the know with cool moto display features. You can check notifications without unlocking your moto g6 plus, reply directly from notifications and turn on night display to reduce blue light and prepares your eyes for sleep.",4.7,4.5,4.3
130,Blackberry Evolve,47990,42990,"Using this for two months now.
A great phone with physical keyboard.  Its fast, Battery works great, keyboard is a beauty and screen really feels sweet.

Camera is too good to be true! I am now using Key2 for clicking more than my iPhone.

BB Hub is not great in Android.  Sad!

Front camera is only okay.
Network reception is excellent.
Speakers are loud enough.
Screen looks perfectly okay in daylight.
Storage of 64gb is more than enough.
Video player is smooth, for HD videos too!
Less output of thru 3.5mm jack.

Body and design is unique and people surely notice this on your Desk and its definitely a conversation starter!

However its costly at 43K.",4.4,4.3,3.8
131,Intex Indie,8999,4799,"For product related queries contact_us on: [ 0120-388-1000 ][ 1860-108-5555 ]
						
							Other features: The device comes with finger print sensor",3.3,3.2,2.8
132,HTC Desire 12,15900,9990,"Big to See, Small to Hold 
    

            












     
    
      
 


    
    
        
    






    
    

    
    
        
            HTC Desire 12+ boasts our biggest 6” display in the Desire  series, and along with a 5.5” display on HTC Desire 12, you will be  surprised how elegantly they both fit in your hand. The modern and sleek  design exhibits the beauty of the U series with the iconic liquid  surface wrapped around the most compact and lightweight 18:9 phones  we’ve ever made.",,,
133,Huawei Nova 3i,23999,17990,The phone looks good. Specifications on the website are good but then I don't enjoy it. Unnecessary features. I can't lock my phone using fingerprint sensor. Battery life is average and satisfactory but sound quality very poor very low music. Selfie camera is awesome but rear camera is same as all other 16 MP phone good photos in daylight nightlight poor shots. Go for it if you don't require any specific feature. It's allround phone and nothing good specific in it,4.1,3.9,3.8
134,Honor 8X,17999,14999,"3750mAh Enhanced Battery Life
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            Get through your entire day without worrying about the juice in the phone battery.
        
    

    
    
        
            The intelligent battery-saving system optimizes power consumption, giving you more screen-on time.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Smart Face Unlock
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            Unlock faster, with the power of you look.
        
    

    
    
        
            The smart facial recognition technology allows for a faster face unlock in different lighting conditions.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Dual VoLTE
    

                        












     
    
      
 


    
    
        
    






    
    

    
    
        
            Let your voice be heard, loud and HD clear.
        
    

    
    
        
            Get better coverage and HD call quality on the secondary SIM with Dual VoLTE Support.
        
    

    
    
        
            Dual HD Voice - Dual SIM with Dual VoLTE",,,
135,Redmi Y2,13499,10999,"Camera performance is good, battery life is good (charge once a day) {i am a not a gamer}.
Software and performance is flawless.",4.2,4.2,4.0
136,Nokia 6.1,20095,14999,I have ordered 6.1plus mentioned in photo but I have got 6.1,3.7,3.6,3.4
137,LG V30+,60000,29990,"What exactly do you need is the right question?

These are what i need....

Great camera one on par with recent flagship's.

A great display to watch my favourite images and videos.

A battery which will for sure last a whole day with moderate to heavy usuage.

A good enough UI with good customization.

Best part of it personally is that I have gifted myself this amazing flagship from highly underrated LG...for a whopping 23K after exchange.

Thanks to AMAZON for making this happen.

Iam writing this after 2 months of purchase.

I just love this beast n how good its feels..

If you got such amazing offer..dont hesitate just go for it.

A flagship is a level apart from the other bunch.

Hope this helps..

Only drawback....front camera ..not upto the mark.",4.4,4.4,4.1
138,Redmi Y2,13499,10999,"in low budget it means 10k . this phone is very good cell.
camera is awesome.
but bettery life is bad comapre to other xiaomi phone .",4.2,4.2,4.0
139,LG V30+,60000,29990,"First thing about this smartphone is this is the most underrated phone of last year.
I was wishing to get this phone when it was launched last year.
And after all the waiting i was got a chance to get this phone on 'INDEPENDENT DAY SALE'.
Guess what I got this phone @20605/- only with exchanged of my old MI MAX @12885/- and instant discount of 1500/- on SBI card.
I was so happy about that steal deal but little worried about the display, because i was using 'SAMSUNG A7 2017' which has a 'SUPER AMOLED' display and I know how AMOLED displays looks.
But when i hold this device on my hand first time and see the gorgeous POLED display man😍 it was just AWESOME and it looks like a AMOLED display.
The design is MIND BLOWING, BATTERY backup is also great even it has just 3300MAH battery.
Front camera is just 5mp which is disappointing
Rear camera's are great but only one thing is missing on camera department is 'PORTRAIT MODE' which is a trend of this day's.
And here is my question to LG why you don't give PORTRAIT MODE on your phone's? even I got 'OREO 8' update at that update they also forgot to give that mode.
Charger is really fast.⚡⚡⚡
Audio quality is just out of the world because of the 'HIFI QUAD DAC', and also this phone have IP68 certified which is dust and water resistant.
At last this is the best device just go for it. 👍👍👍👍👍",4.4,4.4,4.1
140,10.or G,29990,24990,Great product with GREAT packaging!,,,
141,Honor 7c,12999,8499,I just love this phone. Worth buying. Picture quality is too good. Awesome phone at this price.,3.8,3.8,3.7
142,Huawei Nova 3i,23999,17990,This phone is very good in this price range.. All features are good and phone is working very smooth.. No complaints for this... Only one thing is missing... Gorilla glass 3 protection,4.1,3.9,3.8
143,Redmi 6 Pro,11499,10999,"Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always",4.3,4.1,3.9
144,InFocus Vision 3,7999,6999,After 10 days use the review of in focus vision 3 is as follows camera quality good. face unlock and finger print sensor is very fast. Over all good phone. Don't go on negative review value for money.,3.8,3.5,3.5
145,HTC Desire 12,15900,9990,Good One.,,,
146,Blackberry Evolve,47990,42990,"I am using Blackberry key 2 since a month, but have only 1 issue which is draining of BATTERY. As company says for 2 days battery life with 3500 mah battery. My phone's battery drains in less than 20hrs in 3G speed with normal use of Whatsapp, phone and social media. Please help if any one knows about it.

except above issue, phone rates 5 STARS.
Thanks Blackberry.",4.4,4.3,3.8
147,LG Q7,17000,15990,"Don't buy this  mobile it has manufacturing defect.
Screen goes blank n white background, hanging, sticky, everything you will get bonus problem with this mobile
Amazon service failed to given customer support",,,
148,Honor 7c,12999,8499,"For product related assistance contact_us on: [ 18002096555 ]
						
							Other features: Supports both face and finger print unlock",3.8,3.8,3.7
149,LG Q7,17000,15990,"Overall good mobile, not for games, processor is not good ...",,,
150,LG Q7,17000,15990,"Now if only the CPU was better (supporting dual volte)..along with 4gb/64gb...it'd have been a Great Package for Compact phone lovers
... Shall we wait for Q7 Plus ? Time is running out fast...",,,
151,Moto G6 Plus,23999,22499,"Phone really looks very good.

Rear camera good, takes good shots
Front camera is good in daylight but struggle in low light(moto plz improve through software update),

Battery backup is average but turbo charger is really fast

No lags & hanging in day to day usage (i never play games, not a game lover)
Software experience is good, i always love clean stock android.

price is little bit high.. but ok phone look very good in hand.",4.7,4.5,4.3
152,10.or G,29990,24990,Great phone...,,,
153,Honor View 10,35999,24999,"This phone is a worthy competition to OP6. The device looks good, feels sturdy, and if you give time, you will get used to the emui. It took me two days to get the hang of it. The camera is a lot better than I expected. Though I am yet to use it extensively, the few pics I shot have good crisp result. The sound lacks depth and the speakers get blocked while playing games in horizontal mode. That's fine as you will need a pair of earphones, wireless recommended.

A value for money device with great processing power.

Honor UI is the only downside but I hope the company provides updates that minimises bloatware and improve efficiency.",4.4,4.3,4.1
154,Moto G6 Plus,23999,22499,Absolutely waste product. Broken within a week,4.7,4.5,4.3
155,InFocus Vision 3,7999,6999,"average product,  i am okay with display & camera quality for this price, Touch speed is very low.  But better than Redmi mobiles",3.8,3.5,3.5
156,Redmi Y2,13499,10999,Nice purchase especially the SD processor is good in this price range..and overall nice satisfaction with the phone.,4.2,4.2,4.0
157,Samsung Galaxy On7 Prime,12990,9990,Recently lots of geeky youtuber suggested that cheap chinese phones are wise buy than Samsung and Apple. My last three Samsung phones needed repair just after crossing warrenty period. Then they were repaired in local Samsung care. In my area Samsung service Center are more crowded than its showroom. So I don't need a geeky to know how un reliable Samsung are. But still I bought it because it can be repair any time. Cheap Chinese can not. Also I don't need gyrosensor or Thermo meter in my phone.,3.9,3.7,3.7
158,Samsung Galaxy A8+,41900,23990,Average quality and performance.,4.2,4.2,4.0
159,InFocus Vision 3,7999,6999,"Good Product. I brought 16gb Black version.
CAMERA is also good in Daylight, but in low light you'll feel yellow picture. But you can modify this manually in DSLR mode.
DISPLAY is very good & Model is also good. I brought the black version.
CPU is average with it's quad core processor.but no lagging found till now. You can play basic games.
UI has improved better than previous ui it's easy & light.
BATTERY is also very good since it has 4000mh
I think it's a good phone in the budget.",3.8,3.5,3.5
160,Huawei Nova 3,39999,29999,"Total Money waste phone, pics quality very poor in low light and also in day time in shade, battery heats up even when using camera alone, pics starts loading while opening from gallery, 6 gb of ram is useless. Go for low priced phone as they are having better camera and features.",4.3,4.2,3.9
161,Blackberry Evolve,47990,42990,"We'll this review is helpful for those who like physical keyboard. The best feature it has is its privacy and security. You can blindly trust on the blackberry security, why? Because that's what blackberry is all about. I use many accounts and I keep forgetting the parrwords at the same time I cannot trust third party apps to keep my passwords safe. But blackberry does provide a password keeper where I can manage my accounts passwords.

Coming to another security feature DTEK, if any app tries to use anything without my permission e.g. microphone it simply notified me about the access.

Locker: well if I want to hide anything in my phone I have 2 options. Either I use a third party app which again might secretly be stealing my personal photos and videos, which indeed is risky. Or I use locker by blackberry. It handles it all.

6gb ram is sufficient to take care of the speed of the phone. I've been using this phone for more than a month now and it has not lagged anywhere. Connected my Bluetooth earphones using NFC, helps me getting the best route while driving.

This phone is not for those who like playing heavy games. You won't get that full screen feel in this phone. But if you're really into typing and using lots of messaging apps throughout the day, this is the phone for you.

 Coming to camera, during my first week when I had not explored this phone properly I couldn't find the manual mode in the camera app which disappointed me a lot. But later on I found that manualode option and it was a jackpot for me. The Bokeh mode is too good. I actually clicked one photo in portrait mode with this phone and another one with iPhone 8 plus and the BlackBerry had the better clarity, provided the ambient light is sufficient, else iPhone will win, but at the same time iPhone is much costlier than this one like almost double it's cosr. Which isn't the deal breaker.

Display is too good. Call quality is good. Everything about this phone is good.",4.4,4.3,3.8
162,Huawei P20 Lite,22999,15999,It have awesome sharp selfi Camera.. Best in 16000k phones.. Back cam is average... Struggle in low light.. 1.45 minutes to full charge.. Battery lasts for one day.. Little heat issue while playing games.. Lot of cool features.. Lite weight... I think its Better than vivo v9 and honor 9n.. One drawback 2nd sim is 2G,4.2,3.9,3.7
163,Blackberry Evolve,47990,42990,"overall nice phone, but i m facing Problem with key board. it works fine in all the aps but typing on google search or any chorme site is big problem.
hItting one time to space bar mAkes it move it 3-4 times. deleting one letter, deletes 2-3 words.
some letter in small some in capital....overall big probLem in typing.
you can notice typing issues in my review too.
however i hv reset/factory setting after talking tO customer care...problem still persist",4.4,4.3,3.8
164,Honor View 10,35999,24999,"I was looking to buy a new phone, and then arrived Honor Play, and i made the mind to order it, and also ordered the 4gb/64gb variant, but the shipping was taking long, and then i had seen it on amazon in freedom sale, its price was 24999 and there was discount on SBI cards with no cost emi as well, so i compared it with honor play, and it was having same specs, with better camera. So i had gone for it, even without thinking about GPU Turbo, the main feature of Honor Play. And its been 2 months, and i am not regretting a single thing in it. It looks sexy, and i love it.

Now lets come to pros and cons

Pros:
1. Kirin 970, Huawei's flagship processor, pretty much capable of any task or game thrown to it, and i literally mean it, installed like 12 games including pubg, Asphalt 9, ark survival etc. And all runs smoothly(All still installed, and i play them alot)
2. 6gb ram/128gb enough for anything
3. 3750 mAH, easily gives 6-7 hours SOT, and easily manage to run for 1.5 days with basic chatting and surfing with always on data.
4. Display, it is nearly bezel-less, looks sexy
5. Cameras, both the cameras are awesome, loads of features(better then Honor Play, and compete neck to neck with Mi A2)
6. Fast charger, charges it within less then 90 mins from 0 to 100.

Cons:
1. EMUI, it is not optimized, lags/stutter here and there.

Verdict:
After recent update of GPU Turbo and AIS, and the last update of EIS, this phone has become true value for money(atleast for me, since i got it 23500 with no cost EMI ;) )
Go for it, if u still find it in 25k. It is a true flagship phone, with flagship features like NFC, flagship processor, good RAM and 128gb ROM.

P.S. adding a camera sample of its cover only, to show its camera quality.

The last pic is showing the camera features.",4.4,4.3,4.1
165,HTC Desire 12,15900,9990,Very good deserve at 9990 rs,,,
166,Samsung Galaxy A8+,41900,23990,Excellent phone. Fast delivery.,4.2,4.2,4.0
